"","Interval","int_steps"
"1",0,91
"2",5,18
"3",10,7
"4",15,8
"5",20,4
"6",25,111
"7",30,28
"8",35,46
"9",40,0
"10",45,78
"11",50,16
"12",55,7
"13",100,17
"14",105,36
"15",110,8
"16",115,18
"17",120,0
"18",125,59
"19",130,97
"20",135,9
"21",140,9
"22",145,20
"23",150,14
"24",155,0
"25",200,0
"26",205,0
"27",210,60
"28",215,0
"29",220,0
"30",225,7
"31",230,0
"32",235,12
"33",240,0
"34",245,0
"35",250,82
"36",255,50
"37",300,0
"38",305,0
"39",310,0
"40",315,0
"41",320,11
"42",325,33
"43",330,86
"44",335,31
"45",340,26
"46",345,4
"47",350,0
"48",355,0
"49",400,63
"50",405,50
"51",410,136
"52",415,0
"53",420,18
"54",425,19
"55",430,218
"56",435,35
"57",440,185
"58",445,44
"59",450,165
"60",455,59
"61",500,0
"62",505,83
"63",510,159
"64",515,119
"65",520,176
"66",525,157
"67",530,111
"68",535,321
"69",540,849
"70",545,972
"71",550,2091
"72",555,2358
"73",600,1669
"74",605,2611
"75",610,2850
"76",615,3363
"77",620,2648
"78",625,2495
"79",630,2764
"80",635,2085
"81",640,2333
"82",645,2341
"83",650,1980
"84",655,2599
"85",700,2322
"86",705,2352
"87",710,2677
"88",715,2889
"89",720,2646
"90",725,2702
"91",730,2951
"92",735,2349
"93",740,2770
"94",745,3686
"95",750,3066
"96",755,2976
"97",800,3889
"98",805,3615
"99",810,6860
"100",815,8349
"101",820,9071
"102",825,8236
"103",830,9397
"104",835,10927
"105",840,10384
"106",845,9517
"107",850,9720
"108",855,8852
"109",900,7603
"110",905,6574
"111",910,5783
"112",915,5730
"113",920,5497
"114",925,5086
"115",930,3509
"116",935,2397
"117",940,1314
"118",945,2054
"119",950,1854
"120",955,1116
"121",1000,2150
"122",1005,1430
"123",1010,2248
"124",1015,2791
"125",1020,2063
"126",1025,2692
"127",1030,2347
"128",1035,1983
"129",1040,1839
"130",1045,1502
"131",1050,1330
"132",1055,1693
"133",1100,1662
"134",1105,1573
"135",1110,1130
"136",1115,1354
"137",1120,1504
"138",1125,1403
"139",1130,1772
"140",1135,2649
"141",1140,2228
"142",1145,2364
"143",1150,2440
"144",1155,3137
"145",1200,3385
"146",1205,4648
"147",1210,5027
"148",1215,4917
"149",1220,3360
"150",1225,2659
"151",1230,2887
"152",1235,1718
"153",1240,1406
"154",1245,2000
"155",1250,2388
"156",1255,3566
"157",1300,2244
"158",1305,2114
"159",1310,2293
"160",1315,2172
"161",1320,2451
"162",1325,2991
"163",1330,2266
"164",1335,1332
"165",1340,2118
"166",1345,2838
"167",1350,2508
"168",1355,3223
"169",1400,2955
"170",1405,2754
"171",1410,2310
"172",1415,2581
"173",1420,1880
"174",1425,1990
"175",1430,2218
"176",1435,1458
"177",1440,907
"178",1445,1382
"179",1450,2312
"180",1455,2320
"181",1500,1591
"182",1505,1912
"183",1510,1881
"184",1515,2059
"185",1520,2436
"186",1525,2531
"187",1530,2551
"188",1535,3462
"189",1540,4394
"190",1545,5229
"191",1550,5412
"192",1555,4450
"193",1600,3293
"194",1605,3399
"195",1610,3951
"196",1615,3348
"197",1620,3016
"198",1625,3168
"199",1630,2325
"200",1635,2044
"201",1640,2367
"202",1645,2409
"203",1650,2449
"204",1655,2315
"205",1700,2471
"206",1705,2984
"207",1710,2688
"208",1715,3245
"209",1720,3854
"210",1725,4184
"211",1730,3654
"212",1735,3162
"213",1740,3980
"214",1745,2995
"215",1750,1843
"216",1755,1985
"217",1800,2156
"218",1805,3075
"219",1810,3959
"220",1815,4522
"221",1820,3141
"222",1825,3592
"223",1830,4118
"224",1835,3935
"225",1840,4523
"226",1845,5271
"227",1850,4589
"228",1855,4537
"229",1900,4498
"230",1905,4125
"231",1910,3076
"232",1915,2828
"233",1920,1925
"234",1925,1098
"235",1930,1452
"236",1935,2121
"237",1940,1601
"238",1945,1354
"239",1950,2420
"240",1955,1777
"241",2000,1040
"242",2005,1008
"243",2010,1025
"244",2015,1767
"245",2020,1421
"246",2025,1122
"247",2030,1447
"248",2035,1131
"249",2040,1036
"250",2045,1130
"251",2050,1712
"252",2055,1068
"253",2100,845
"254",2105,913
"255",2110,1243
"256",2115,1020
"257",2120,660
"258",2125,425
"259",2130,777
"260",2135,864
"261",2140,460
"262",2145,413
"263",2150,431
"264",2155,139
"265",2200,77
"266",2205,195
"267",2210,255
"268",2215,451
"269",2220,375
"270",2225,461
"271",2230,517
"272",2235,117
"273",2240,17
"274",2245,6
"275",2250,85
"276",2255,244
"277",2300,175
"278",2305,151
"279",2310,0
"280",2315,44
"281",2320,51
"282",2325,84
"283",2330,138
"284",2335,249
"285",2340,175
"286",2345,34
"287",2350,12
"288",2355,57
